state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
TAMIL NADU,603306,27%,64%,1%,7%,28%,64%,2%,6%,1%,0%,0%,-2%
KERALA,680751,5%,70%,20%,5%,6%,62%,21%,11%,1%,-8%,2%,5%
UTTAR PRADESH,227202,2%,86%,3%,9%,3%,86%,2%,9%,1%,0%,-1%,0%
KERALA,679329,4%,43%,20%,33%,5%,44%,10%,41%,1%,1%,-10%,7%
KARNATAKA,560085,45%,38%,5%,12%,47%,39%,5%,10%,1%,1%,0%,-2%
KERALA,682030,15%,45%,27%,13%,17%,47%,20%,17%,1%,3%,-8%,4%
KERALA,678018,10%,62%,4%,25%,11%,71%,15%,4%,1%,9%,11%,-21%
DELHI,110042,26%,56%,4%,15%,27%,54%,4%,14%,1%,-2%,1%,0%
TAMIL NADU,624001,21%,70%,4%,5%,22%,72%,5%,1%,1%,2%,1%,-4%
MEGHALAYA,781028,14%,64%,9%,14%,15%,55%,15%,15%,1%,-9%,6%,1%
KERALA,680508,8%,24%,42%,26%,9%,61%,10%,19%,1%,37%,-32%,-7%
TAMIL NADU,641046,30%,59%,5%,5%,32%,60%,2%,7%,1%,1%,-3%,1%
KERALA,673592,4%,38%,53%,5%,5%,41%,49%,5%,1%,3%,-4%,0%
MAHARASHTRA,415407,10%,70%,12%,8%,12%,75%,3%,10%,1%,5%,-9%,3%
HARYANA,122016,33%,55%,2%,10%,34%,47%,2%,16%,1%,-8%,0%,7%
GUJARAT,360007,7%,36%,28%,29%,8%,38%,29%,24%,1%,2%,2%,-5%
TAMIL NADU,600046,24%,56%,15%,5%,26%,55%,13%,6%,1%,-1%,-2%,2%
KERALA,673016,4%,13%,32%,52%,5%,14%,24%,57%,1%,1%,-8%,5%
KERALA,686540,1%,47%,46%,5%,2%,47%,42%,9%,1%,0%,-5%,3%
BIHAR,802301,44%,31%,24%,0%,46%,33%,21%,0%,1%,2%,-3%,0%
KARNATAKA,581205,48%,40%,11%,1%,49%,43%,7%,1%,1%,3%,-5%,0%
TAMIL NADU,603319,30%,58%,1%,11%,31%,66%,1%,1%,1%,8%,0%,-10%
KERALA,673571,8%,56%,20%,15%,10%,46%,28%,16%,1%,-10%,8%,1%
JAMMU AND KASHMIR,180006,36%,60%,4%,0%,37%,58%,4%,1%,1%,-2%,0%,0%
WEST BENGAL,700121,9%,81%,2%,7%,11%,71%,2%,16%,1%,-10%,-1%,9%
GUJARAT,382430,15%,38%,21%,26%,16%,29%,23%,32%,1%,-9%,2%,6%
PUNJAB,141008,19%,0%,75%,6%,20%,0%,41%,39%,1%,0%,-34%,33%
KERALA,679588,13%,16%,44%,26%,15%,53%,27%,5%,1%,36%,-17%,-21%
TAMIL NADU,620001,22%,72%,2%,5%,23%,71%,2%,4%,1%,-1%,0%,0%
MAHARASHTRA,414203,7%,52%,31%,10%,8%,67%,13%,13%,1%,15%,-19%,2%
MAHARASHTRA,416115,6%,83%,9%,2%,8%,83%,8%,1%,1%,0%,-1%,-1%
TAMIL NADU,628002,20%,75%,3%,2%,21%,74%,2%,3%,1%,-1%,-1%,0%
MAHARASHTRA,431501,6%,67%,17%,10%,8%,57%,21%,14%,1%,-10%,4%,4%
TAMIL NADU,625218,18%,78%,3%,1%,19%,73%,3%,5%,1%,-5%,0%,3%
UTTAR PRADESH,206001,18%,63%,14%,5%,19%,62%,15%,4%,1%,-1%,1%,-1%
TAMIL NADU,627756,11%,87%,0%,1%,13%,85%,1%,1%,1%,-2%,0%,0%
KARNATAKA,585218,29%,62%,5%,5%,31%,63%,6%,1%,1%,1%,1%,-3%
TAMIL NADU,606708,9%,59%,3%,29%,11%,60%,3%,27%,1%,1%,0%,-2%
KERALA,695527,5%,73%,18%,4%,6%,69%,15%,9%,1%,-4%,-3%,5%
HIMACHAL PRADESH,171005,8%,87%,2%,3%,10%,81%,7%,2%,1%,-6%,6%,-1%
KERALA,679323,3%,21%,44%,33%,4%,20%,23%,52%,1%,0%,-21%,20%
KARNATAKA,576102,12%,85%,2%,1%,14%,83%,2%,1%,1%,-2%,0%,1%
MAHARASHTRA,441404,8%,66%,17%,9%,10%,64%,16%,11%,1%,-2%,-1%,2%
KERALA,673317,1%,19%,79%,1%,2%,77%,20%,2%,1%,58%,-60%,1%
GUJARAT,382725,24%,43%,12%,22%,25%,33%,19%,23%,1%,-10%,7%,1%
MAHARASHTRA,413505,5%,45%,48%,1%,7%,49%,19%,25%,1%,4%,-29%,24%
TELANGANA,500013,25%,45%,29%,0%,27%,40%,33%,0%,1%,-5%,4%,0%
WEST BENGAL,711411,11%,77%,3%,9%,13%,81%,1%,6%,1%,4%,-3%,-3%
UTTARAKHAND,249401,26%,31%,33%,9%,28%,30%,34%,8%,1%,-2%,1%,-1%
MADHYA PRADESH,461331,8%,75%,17%,0%,10%,66%,24%,0%,1%,-9%,8%,0%
MAHARASHTRA,416436,19%,44%,30%,7%,20%,50%,20%,10%,1%,6%,-10%,3%
KERALA,679585,16%,45%,15%,24%,17%,35%,26%,22%,1%,-11%,11%,-2%
HARYANA,122011,46%,41%,2%,10%,48%,36%,2%,14%,1%,-5%,0%,4%
TAMIL NADU,629251,23%,51%,11%,15%,25%,39%,23%,14%,1%,-12%,12%,-1%
KERALA,695543,2%,56%,28%,14%,4%,28%,4%,64%,1%,-28%,-24%,50%
MAHARASHTRA,400706,14%,74%,4%,7%,16%,75%,4%,5%,1%,1%,0%,-2%
TAMIL NADU,600015,25%,37%,7%,30%,27%,44%,7%,23%,1%,7%,-1%,-7%
KARNATAKA,574145,43%,43%,3%,11%,45%,37%,8%,11%,1%,-6%,5%,0%
UTTAR PRADESH,276121,10%,54%,8%,28%,11%,48%,23%,17%,1%,-6%,15%,-10%
KARNATAKA,571441,25%,54%,20%,1%,26%,43%,29%,2%,1%,-11%,9%,1%
MAHARASHTRA,400080,19%,70%,3%,8%,20%,70%,3%,7%,2%,0%,0%,-1%
KERALA,679325,8%,45%,29%,18%,9%,40%,34%,18%,2%,-6%,5%,-1%
GUJARAT,364760,17%,24%,31%,28%,19%,31%,38%,13%,2%,7%,6%,-15%
UTTARAKHAND,248008,17%,65%,11%,6%,19%,66%,9%,6%,2%,1%,-2%,0%
BIHAR,802132,32%,59%,5%,5%,33%,50%,6%,11%,2%,-9%,1%,7%
UTTAR PRADESH,201201,17%,65%,12%,6%,18%,69%,12%,1%,2%,3%,0%,-5%
MAHARASHTRA,415507,6%,61%,30%,3%,7%,63%,28%,1%,2%,3%,-2%,-2%
GUJARAT,394670,2%,26%,9%,63%,4%,19%,17%,60%,2%,-6%,8%,-3%
MAHARASHTRA,400017,15%,46%,2%,37%,16%,42%,1%,40%,2%,-4%,0%,3%
UTTAR PRADESH,222203,2%,80%,10%,8%,4%,73%,16%,7%,2%,-6%,6%,-1%
GUJARAT,389210,11%,34%,21%,34%,12%,37%,18%,33%,2%,3%,-3%,-1%
GUJARAT,364505,3%,39%,32%,26%,4%,42%,25%,29%,2%,2%,-7%,3%
KERALA,679331,4%,35%,39%,22%,5%,36%,34%,25%,2%,1%,-5%,3%
GUJARAT,382845,17%,54%,18%,11%,19%,56%,18%,7%,2%,2%,0%,-4%
UTTAR PRADESH,281004,12%,74%,7%,7%,13%,69%,10%,7%,2%,-4%,3%,0%
UTTAR PRADESH,243503,16%,77%,2%,5%,18%,75%,4%,4%,2%,-2%,1%,-1%
ANDHRA PRADESH,517507,25%,65%,9%,1%,26%,63%,9%,1%,2%,-2%,0%,0%
DELHI,110088,19%,16%,1%,64%,21%,23%,2%,54%,2%,8%,1%,-10%
MADHYA PRADESH,475005,5%,85%,10%,0%,6%,86%,7%,1%,2%,1%,-3%,0%
MAHARASHTRA,416509,3%,3%,52%,41%,5%,5%,65%,25%,2%,2%,13%,-16%
KERALA,678015,7%,10%,81%,1%,9%,13%,66%,11%,2%,3%,-15%,11%
KARNATAKA,582117,18%,64%,7%,11%,20%,59%,5%,16%,2%,-4%,-2%,4%
KERALA,695027,8%,48%,28%,16%,9%,76%,12%,2%,2%,28%,-16%,-14%
MAHARASHTRA,411042,11%,15%,39%,34%,13%,14%,41%,32%,2%,-1%,1%,-2%
TAMIL NADU,625019,16%,67%,5%,12%,17%,68%,7%,7%,2%,1%,2%,-5%
GUJARAT,383010,4%,61%,18%,18%,5%,67%,15%,13%,2%,6%,-2%,-5%
KERALA,688009,4%,68%,17%,11%,5%,74%,8%,13%,2%,6%,-9%,2%
MAHARASHTRA,411037,15%,24%,40%,20%,17%,20%,42%,21%,2%,-4%,2%,1%
MAHARASHTRA,400061,12%,79%,2%,7%,14%,77%,1%,8%,2%,-2%,0%,1%
HARYANA,132104,15%,41%,9%,35%,17%,33%,16%,34%,2%,-8%,6%,0%
UTTAR PRADESH,246729,19%,47%,32%,2%,20%,70%,5%,4%,2%,23%,-26%,2%
KERALA,670631,3%,21%,51%,25%,5%,22%,71%,3%,2%,0%,20%,-22%
GUJARAT,396445,5%,54%,29%,11%,7%,41%,27%,25%,2%,-13%,-3%,15%
MAHARASHTRA,400604,22%,68%,2%,8%,24%,62%,3%,11%,2%,-6%,2%,2%
TAMIL NADU,624103,16%,74%,2%,7%,18%,64%,14%,4%,2%,-10%,12%,-3%
DELHI,110051,29%,45%,4%,21%,30%,45%,4%,21%,2%,-1%,-1%,0%
GUJARAT,391770,4%,78%,6%,12%,6%,64%,6%,24%,2%,-14%,0%,12%
KERALA,680523,2%,19%,28%,51%,4%,36%,20%,41%,2%,17%,-8%,-10%
MAHARASHTRA,431606,6%,67%,22%,6%,7%,71%,14%,7%,2%,5%,-8%,2%
MAHARASHTRA,444914,43%,29%,14%,14%,44%,22%,22%,11%,2%,-6%,8%,-3%
MADHYA PRADESH,473001,8%,78%,14%,1%,9%,76%,14%,0%,2%,-1%,0%,0%
MAHARASHTRA,421201,17%,74%,1%,8%,19%,74%,1%,6%,2%,0%,0%,-2%
MAHARASHTRA,441916,8%,23%,63%,8%,9%,50%,27%,14%,2%,28%,-35%,6%
KARNATAKA,587101,4%,93%,1%,1%,6%,91%,2%,1%,2%,-2%,1%,0%
KERALA,673602,7%,37%,25%,31%,8%,30%,41%,21%,2%,-7%,16%,-10%
UTTAR PRADESH,241001,1%,95%,0%,4%,2%,93%,1%,5%,2%,-3%,0%,1%
TELANGANA,509209,5%,63%,32%,0%,6%,61%,32%,0%,2%,-2%,0%,0%
MAHARASHTRA,411040,19%,28%,42%,11%,20%,22%,44%,14%,2%,-5%,1%,2%
KERALA,688529,3%,76%,18%,3%,5%,73%,9%,14%,2%,-4%,-9%,11%
ODISHA,754005,72%,2%,5%,20%,74%,3%,9%,14%,2%,1%,4%,-6%
UTTAR PRADESH,250103,11%,79%,6%,4%,13%,71%,7%,9%,2%,-8%,2%,5%
GUJARAT,395006,8%,30%,26%,36%,10%,30%,26%,34%,2%,0%,0%,-2%
KERALA,673581,1%,25%,59%,15%,3%,19%,59%,19%,2%,-6%,0%,4%
MAHARASHTRA,443101,6%,76%,16%,2%,7%,79%,13%,1%,2%,2%,-3%,-1%
KERALA,678731,12%,60%,19%,10%,14%,57%,22%,8%,2%,-3%,3%,-1%
UTTAR PRADESH,274001,2%,80%,3%,15%,4%,80%,3%,14%,2%,0%,0%,-2%
GUJARAT,394185,8%,23%,24%,45%,9%,31%,18%,42%,2%,8%,-6%,-4%
KERALA,676505,13%,28%,36%,22%,15%,27%,41%,17%,2%,-1%,4%,-5%
GUJARAT,370465,8%,16%,34%,42%,9%,33%,20%,37%,2%,17%,-14%,-5%
UTTAR PRADESH,222109,5%,78%,11%,5%,7%,86%,2%,5%,2%,8%,-9%,0%
DELHI,110094,10%,86%,2%,2%,12%,83%,2%,3%,2%,-3%,0%,1%
GUJARAT,384315,5%,85%,6%,5%,6%,81%,6%,6%,2%,-3%,0%,2%
MADHYA PRADESH,452007,13%,18%,69%,0%,15%,37%,48%,0%,2%,19%,-21%,0%
UTTAR PRADESH,206245,16%,68%,10%,7%,18%,67%,10%,5%,2%,0%,0%,-2%
ANDHRA PRADESH,524315,13%,70%,15%,1%,15%,74%,10%,1%,2%,4%,-5%,0%
UTTAR PRADESH,221006,2%,88%,5%,6%,3%,86%,5%,6%,2%,-2%,0%,0%
KERALA,686504,3%,68%,24%,4%,5%,66%,21%,8%,2%,-2%,-3%,3%
MAHARASHTRA,431105,6%,46%,37%,10%,8%,48%,35%,10%,2%,1%,-2%,-1%
KERALA,680581,5%,62%,26%,7%,6%,50%,11%,33%,2%,-13%,-16%,26%
KARNATAKA,560022,12%,77%,5%,7%,13%,75%,6%,7%,2%,-2%,1%,0%
WEST BENGAL,742157,8%,63%,6%,23%,9%,63%,5%,23%,2%,0%,-1%,0%
UTTAR PRADESH,207001,6%,73%,13%,8%,7%,73%,10%,10%,2%,0%,-3%,2%
UTTAR PRADESH,202520,5%,61%,17%,16%,7%,49%,14%,31%,2%,-12%,-4%,14%
ANDHRA PRADESH,530004,23%,61%,15%,1%,24%,62%,12%,1%,2%,1%,-2%,0%
KERALA,688524,4%,68%,23%,5%,6%,69%,20%,5%,2%,1%,-3%,0%
MAHARASHTRA,424002,6%,70%,13%,11%,8%,66%,15%,10%,2%,-4%,3%,0%
KERALA,691507,7%,29%,59%,5%,9%,24%,51%,16%,2%,-5%,-7%,11%
KERALA,686664,1%,66%,30%,3%,3%,54%,38%,5%,2%,-12%,8%,2%
UTTAR PRADESH,250406,14%,76%,7%,3%,15%,55%,20%,10%,2%,-21%,13%,6%
ANDHRA PRADESH,524003,19%,79%,1%,0%,21%,77%,2%,0%,2%,-2%,0%,0%
WEST BENGAL,713421,4%,90%,1%,4%,6%,87%,2%,6%,2%,-4%,1%,2%
MAHARASHTRA,401601,22%,69%,1%,8%,24%,65%,2%,8%,2%,-4%,1%,1%
WEST BENGAL,742149,21%,50%,3%,26%,23%,44%,3%,30%,2%,-6%,0%,4%
GOA,403003,8%,25%,25%,42%,10%,50%,20%,20%,2%,25%,-5%,-22%
MAHARASHTRA,423108,8%,58%,8%,25%,10%,60%,10%,20%,2%,2%,2%,-5%
MAHARASHTRA,443103,15%,56%,25%,4%,16%,54%,26%,4%,2%,-2%,0%,0%
KARNATAKA,560043,24%,70%,3%,3%,26%,67%,3%,4%,2%,-3%,1%,1%
UTTARAKHAND,263143,12%,55%,24%,9%,14%,38%,38%,10%,2%,-17%,14%,1%
ASSAM,786003,9%,82%,2%,7%,11%,77%,1%,11%,2%,-4%,-1%,4%
WEST BENGAL,700020,26%,23%,0%,51%,27%,31%,1%,41%,2%,7%,0%,-9%
KARNATAKA,571314,29%,66%,4%,2%,31%,65%,3%,2%,2%,-1%,-1%,0%
DELHI,110093,12%,68%,3%,17%,14%,61%,9%,16%,2%,-7%,6%,-1%
KERALA,695042,0%,81%,14%,4%,2%,87%,5%,6%,2%,6%,-9%,2%
KERALA,673655,9%,51%,31%,9%,11%,37%,28%,24%,2%,-14%,-3%,16%
KARNATAKA,577222,28%,60%,7%,5%,30%,55%,11%,4%,2%,-5%,4%,-1%
TAMIL NADU,641668,30%,46%,14%,11%,31%,41%,15%,13%,2%,-5%,1%,2%
KARNATAKA,581325,95%,0%,4%,1%,96%,0%,3%,0%,2%,0%,-1%,-1%
UTTARAKHAND,249304,41%,40%,17%,2%,42%,33%,23%,1%,2%,-6%,6%,-1%
TAMIL NADU,625007,24%,66%,4%,6%,26%,64%,4%,6%,2%,-2%,0%,0%
ANDHRA PRADESH,515144,6%,94%,0%,0%,7%,92%,1%,0%,2%,-2%,0%,0%
KERALA,688501,3%,58%,17%,22%,5%,44%,15%,36%,2%,-15%,-2%,14%
GUJARAT,382421,2%,2%,1%,96%,3%,5%,1%,91%,2%,3%,0%,-5%
KARNATAKA,583102,24%,67%,3%,6%,26%,66%,3%,5%,2%,-1%,0%,-1%
UTTAR PRADESH,246725,9%,81%,8%,2%,11%,75%,11%,3%,2%,-6%,3%,1%
KERALA,695014,7%,50%,35%,8%,8%,52%,23%,17%,2%,2%,-12%,8%
TAMIL NADU,604405,17%,53%,19%,11%,19%,69%,6%,6%,2%,16%,-13%,-4%
TAMIL NADU,600050,28%,46%,8%,19%,30%,47%,8%,15%,2%,1%,0%,-3%
KERALA,682021,5%,38%,37%,20%,7%,40%,36%,17%,2%,2%,-2%,-2%
TAMIL NADU,628501,24%,68%,2%,5%,26%,68%,3%,3%,2%,0%,1%,-2%
MADHYA PRADESH,466445,23%,69%,7%,1%,25%,62%,12%,1%,2%,-7%,5%,0%
WEST BENGAL,700145,2%,97%,0%,1%,4%,90%,1%,6%,2%,-7%,0%,5%
HARYANA,110044,28%,56%,3%,13%,30%,54%,4%,13%,2%,-2%,0%,0%
TAMIL NADU,609405,61%,16%,19%,4%,63%,26%,5%,5%,2%,11%,-14%,2%
UTTARAKHAND,248005,37%,50%,8%,5%,39%,48%,8%,5%,2%,-2%,1%,0%
KERALA,673301,6%,33%,52%,9%,7%,51%,27%,15%,2%,18%,-25%,5%
MAHARASHTRA,400002,19%,65%,1%,15%,21%,69%,0%,9%,2%,4%,0%,-5%
GUJARAT,363430,1%,60%,20%,19%,3%,62%,33%,2%,2%,2%,13%,-17%
KERALA,695121,8%,81%,8%,3%,10%,79%,5%,6%,2%,-2%,-3%,3%
GUJARAT,380058,10%,24%,1%,65%,12%,37%,1%,50%,2%,13%,0%,-14%
TAMIL NADU,641006,27%,64%,3%,7%,28%,60%,2%,10%,2%,-5%,0%,3%
KERALA,678574,8%,31%,49%,12%,10%,37%,52%,2%,2%,6%,2%,-10%
GUJARAT,362205,13%,42%,17%,29%,14%,43%,14%,29%,2%,1%,-2%,-1%
TELANGANA,500081,40%,47%,11%,1%,42%,45%,11%,2%,2%,-2%,0%,0%
KERALA,695034,22%,61%,9%,9%,24%,67%,6%,4%,2%,6%,-3%,-5%
WEST BENGAL,700027,18%,42%,1%,40%,19%,47%,1%,33%,2%,5%,0%,-7%
MAHARASHTRA,424101,7%,78%,12%,3%,9%,80%,9%,3%,2%,2%,-4%,0%
KERALA,688556,1%,23%,69%,7%,3%,64%,29%,4%,2%,41%,-40%,-3%
KERALA,695013,11%,63%,16%,11%,13%,66%,16%,5%,2%,3%,0%,-5%
KERALA,679103,1%,18%,61%,20%,3%,40%,39%,18%,2%,22%,-22%,-2%
DELHI,110052,14%,11%,1%,74%,16%,13%,2%,69%,2%,3%,1%,-5%
GUJARAT,394520,9%,44%,19%,28%,11%,44%,31%,14%,2%,0%,12%,-14%
UTTAR PRADESH,222142,1%,80%,3%,16%,3%,82%,2%,13%,2%,2%,-1%,-3%
MAHARASHTRA,414102,6%,44%,43%,7%,8%,52%,37%,3%,2%,8%,-6%,-4%
KARNATAKA,571107,53%,46%,1%,1%,54%,44%,1%,0%,2%,-2%,1%,0%
GUJARAT,385410,13%,46%,15%,26%,15%,41%,12%,32%,2%,-5%,-3%,6%
WEST BENGAL,700054,30%,30%,1%,39%,31%,25%,1%,43%,2%,-5%,0%,4%
UTTAR PRADESH,244924,2%,6%,92%,1%,4%,39%,56%,1%,2%,33%,-35%,1%
UTTAR PRADESH,227105,1%,96%,1%,2%,3%,85%,3%,9%,2%,-11%,2%,7%
TAMIL NADU,600049,26%,49%,8%,17%,28%,52%,9%,11%,2%,3%,1%,-6%
MAHARASHTRA,440032,17%,58%,15%,11%,18%,60%,10%,12%,2%,2%,-6%,2%
KERALA,691017,10%,63%,15%,13%,12%,51%,27%,10%,2%,-11%,12%,-2%
KARNATAKA,560003,5%,83%,3%,9%,7%,80%,4%,9%,2%,-3%,1%,0%
GUJARAT,370421,8%,55%,14%,22%,10%,57%,11%,22%,2%,2%,-4%,0%
GUJARAT,389151,6%,56%,16%,24%,7%,53%,14%,25%,2%,-2%,-1%,2%
UTTAR PRADESH,273002,1%,85%,4%,9%,3%,86%,2%,10%,2%,0%,-2%,0%
MAHARASHTRA,400098,11%,35%,1%,53%,12%,32%,1%,54%,2%,-3%,0%,1%
GUJARAT,395010,11%,13%,38%,38%,13%,16%,39%,32%,2%,3%,1%,-6%
KERALA,695025,5%,39%,52%,3%,7%,41%,33%,18%,2%,3%,-19%,15%
KERALA,682313,2%,63%,23%,12%,4%,58%,25%,13%,2%,-4%,2%,1%
WEST BENGAL,700144,5%,74%,1%,20%,7%,82%,0%,11%,2%,8%,-1%,-9%
KARNATAKA,575030,22%,70%,2%,6%,24%,65%,5%,5%,2%,-5%,4%,0%
MAHARASHTRA,431506,2%,57%,40%,2%,4%,61%,32%,4%,2%,5%,-8%,2%
GUJARAT,363641,5%,29%,6%,60%,7%,32%,7%,54%,2%,4%,1%,-6%
MAHARASHTRA,425301,17%,60%,17%,7%,19%,44%,22%,15%,2%,-16%,6%,8%
MAHARASHTRA,413401,2%,90%,7%,1%,4%,89%,6%,1%,2%,-1%,-1%,0%
GUJARAT,394601,7%,75%,3%,15%,9%,76%,4%,10%,2%,2%,1%,-5%
TAMIL NADU,621010,24%,56%,1%,19%,26%,69%,2%,3%,2%,13%,1%,-16%
MAHARASHTRA,444404,8%,75%,11%,6%,10%,39%,26%,25%,2%,-36%,15%,19%
TAMIL NADU,602101,28%,43%,8%,21%,30%,49%,10%,12%,2%,6%,2%,-10%
KERALA,691530,8%,27%,62%,3%,10%,25%,47%,18%,2%,-2%,-15%,15%
GUJARAT,360005,11%,46%,16%,27%,13%,40%,18%,29%,2%,-5%,2%,2%
UTTARAKHAND,249202,37%,46%,8%,9%,39%,59%,1%,1%,2%,13%,-7%,-8%
KERALA,690502,0%,64%,24%,12%,2%,64%,21%,12%,2%,1%,-3%,0%
KARNATAKA,560005,26%,59%,7%,9%,27%,58%,5%,10%,2%,-1%,-2%,1%
UTTAR PRADESH,274304,2%,68%,5%,26%,4%,49%,2%,46%,2%,-19%,-3%,20%
CHHATTISGARH,495445,12%,81%,6%,0%,14%,79%,7%,1%,2%,-2%,0%,0%
MAHARASHTRA,412216,16%,31%,32%,21%,18%,35%,23%,24%,2%,4%,-10%,4%
KARNATAKA,563162,48%,43%,4%,5%,50%,43%,3%,3%,2%,0%,0%,-2%
MADHYA PRADESH,452020,21%,62%,17%,0%,23%,62%,14%,1%,2%,1%,-3%,0%
KARNATAKA,584123,14%,84%,2%,1%,16%,83%,1%,0%,2%,-1%,-1%,0%
MADHYA PRADESH,483501,16%,75%,9%,0%,18%,77%,4%,0%,2%,3%,-4%,0%
MAHARASHTRA,431109,5%,82%,11%,2%,7%,79%,9%,5%,2%,-3%,-2%,4%
TELANGANA,431717,36%,3%,51%,10%,38%,7%,49%,7%,2%,4%,-2%,-4%
KERALA,688541,4%,68%,12%,16%,6%,59%,18%,18%,2%,-9%,6%,2%
RAJASTHAN,301707,49%,3%,24%,24%,51%,1%,25%,23%,2%,-2%,1%,-1%
UTTAR PRADESH,247120,10%,77%,7%,5%,12%,71%,10%,7%,2%,-7%,3%,2%
GUJARAT,388120,6%,68%,15%,10%,8%,46%,18%,28%,2%,-23%,3%,18%
KARNATAKA,571405,26%,66%,5%,3%,28%,54%,10%,8%,2%,-12%,5%,5%
KERALA,670002,18%,34%,41%,7%,20%,41%,34%,5%,2%,7%,-7%,-1%
KERALA,682002,10%,49%,32%,9%,12%,76%,6%,6%,2%,27%,-26%,-3%
MAHARASHTRA,413601,3%,92%,4%,1%,5%,88%,3%,5%,2%,-5%,-1%,4%
MAHARASHTRA,444104,6%,42%,17%,35%,8%,46%,22%,23%,2%,4%,5%,-12%
ASSAM,788006,17%,74%,2%,7%,19%,72%,2%,6%,2%,-2%,0%,-1%
WEST BENGAL,742303,2%,27%,0%,71%,4%,53%,2%,41%,2%,26%,2%,-30%
KERALA,682033,7%,24%,48%,20%,9%,24%,39%,28%,2%,0%,-9%,8%
PUNJAB,147001,58%,1%,14%,27%,60%,2%,18%,20%,2%,0%,5%,-7%
UTTAR PRADESH,271302,1%,63%,3%,33%,3%,55%,5%,37%,2%,-7%,1%,4%
GUJARAT,380023,22%,17%,6%,55%,24%,20%,12%,44%,2%,3%,5%,-10%
KERALA,680601,2%,69%,19%,10%,4%,64%,16%,16%,2%,-5%,-3%,6%
UTTAR PRADESH,230402,2%,88%,4%,6%,4%,80%,15%,1%,2%,-8%,11%,-5%
KERALA,676542,9%,39%,35%,18%,11%,43%,25%,21%,2%,4%,-10%,4%
KERALA,678594,4%,65%,25%,5%,6%,50%,31%,13%,2%,-15%,6%,8%
MAHARASHTRA,431745,5%,35%,60%,0%,7%,38%,54%,1%,2%,4%,-6%,1%
RAJASTHAN,332001,48%,1%,20%,31%,50%,1%,24%,25%,2%,0%,4%,-6%
MAHARASHTRA,441122,11%,60%,11%,18%,13%,52%,17%,18%,2%,-8%,6%,0%
MAHARASHTRA,440025,16%,41%,32%,11%,18%,42%,30%,10%,2%,1%,-2%,-1%
ANDHRA PRADESH,517001,17%,82%,1%,0%,19%,74%,7%,1%,2%,-8%,6%,0%
DELHI,110082,12%,78%,2%,7%,14%,81%,1%,4%,2%,2%,-1%,-3%
KERALA,691306,5%,48%,40%,7%,7%,55%,37%,1%,2%,7%,-3%,-6%
KERALA,690516,1%,66%,27%,6%,3%,65%,31%,2%,2%,-1%,3%,-4%
KERALA,683589,2%,24%,67%,7%,4%,35%,53%,8%,2%,11%,-15%,1%
KARNATAKA,580021,40%,42%,6%,12%,42%,38%,7%,14%,2%,-4%,1%,2%
KARNATAKA,577528,15%,84%,1%,0%,17%,82%,1%,0%,2%,-2%,0%,0%
UTTARAKHAND,248142,7%,90%,2%,2%,9%,87%,2%,2%,2%,-3%,0%,0%
KERALA,686009,3%,30%,57%,9%,5%,23%,53%,18%,2%,-7%,-4%,9%
UTTAR PRADESH,232104,9%,79%,4%,8%,11%,79%,5%,5%,2%,0%,1%,-3%
ANDHRA PRADESH,516257,10%,85%,4%,1%,12%,68%,18%,2%,2%,-16%,14%,0%
GUJARAT,394245,7%,43%,36%,14%,9%,27%,36%,27%,2%,-16%,1%,13%
MAHARASHTRA,422501,7%,57%,14%,21%,9%,45%,27%,18%,2%,-12%,13%,-3%
UTTAR PRADESH,202131,7%,55%,34%,4%,9%,73%,9%,9%,2%,17%,-25%,6%
UTTAR PRADESH,222132,2%,93%,0%,5%,4%,77%,6%,13%,2%,-16%,5%,9%
KERALA,676517,16%,31%,51%,2%,18%,25%,54%,3%,2%,-6%,3%,1%
DELHI,110064,27%,36%,2%,35%,29%,40%,5%,26%,2%,4%,3%,-9%
UTTAR PRADESH,273008,1%,94%,4%,1%,3%,73%,18%,5%,2%,-20%,14%,4%
MADHYA PRADESH,465683,5%,39%,6%,50%,7%,79%,13%,1%,2%,40%,7%,-49%
ANDHRA PRADESH,533106,21%,64%,14%,0%,23%,63%,13%,1%,2%,-1%,-1%,0%
KARNATAKA,560070,37%,48%,4%,11%,39%,47%,4%,10%,2%,-2%,0%,-1%
WEST BENGAL,743347,14%,79%,1%,6%,16%,74%,1%,9%,2%,-4%,0%,2%
KERALA,680594,2%,67%,17%,14%,4%,54%,28%,13%,2%,-12%,12%,-1%
KERALA,686533,5%,31%,59%,5%,7%,41%,47%,4%,2%,11%,-12%,-1%
UTTAR PRADESH,209302,6%,81%,3%,9%,8%,79%,6%,7%,2%,-3%,3%,-2%
KERALA,679582,8%,30%,20%,41%,10%,21%,27%,42%,2%,-9%,7%,1%
UTTAR PRADESH,224129,11%,23%,4%,62%,13%,76%,4%,8%,2%,53%,-1%,-54%
UTTAR PRADESH,206121,26%,45%,19%,10%,28%,40%,15%,16%,2%,-5%,-4%,7%
KERALA,686004,4%,61%,26%,10%,6%,54%,26%,14%,2%,-7%,1%,5%
PUNJAB,141001,49%,5%,13%,32%,51%,6%,14%,28%,2%,1%,1%,-4%
ASSAM,786002,17%,70%,2%,11%,19%,65%,4%,13%,2%,-5%,2%,2%
